tweetId,tweetUrl,content,isReply,replyTo,createdAt,authorId,authorName,authorUsername,authorVerified,authorFollowers,authorProfilePic,authorJoinDate,source,hashtags,mentions,conversationId,inReplyToId,Date,time_response,account_age_days,mentions_count,hashtags_count,content_length,has_profile_picture,sentiment_polarity,toxicity_score
1878630970745900800,https://x.com/Pableins15/status/1878630970745901259,"@DanielNoboaOk @DiegoBorjaPC Lávate el hocico presidente de cartón,habla la verdad y cómo son las cosas! Cómo han sido los tiempos y cómo han pasado las cosas,si no entiendes cómo son los procesos de contratación qué haces de presidente ignorante!Borja no debería ser candidato es correcto al tener un vínculo",True,DanielNoboaOk,2025-01-13 02:31:00,176948611,Pablo Balarezo,Pableins15,False,18,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,2010-08-10 21:35:00,Twitter for iPhone,,"@DanielNoboaOk, @DiegoBorjaPC",1878539079249547410,1878539079249547520,2025-01-12 20:26:32,364.4666666666666,5261,2,0,309,False,0.0,0.54325575
1904041877503984128,https://x.com/solma1201/status/1904041877503983746,@DanielNoboaOk De esa arrastrada no te levantas nunca... Chao cartón 📉,True,DanielNoboaOk,2025-03-24 05:25:00,1368663286582030336,Solma1201,solma1201,False,58,https://pbs.twimg.com/profile_images/1877453346082045952/AHVKIQln_normal.jpg,2021-03-07 20:42:00,Twitter for iPhone,,@DanielNoboaOk,1904003201143115786,1904003201143115776,2025-03-24 02:51:52,153.13333333333333,1399,1,0,70,True,0.0,0.4269174
1877463444649046016,https://x.com/Mediterran67794/status/1877463444649046092,"@LuisaGonzalezEc @RC5Oficial Protegiendo a los narcotraficantes, criminales, violadores, delincuentes, locos y prostitutas",True,LuisaGonzalezEc,2025-01-09 21:12:00,1851005619106451712,Médico Escritor Filósofo Hermeneútico,Mediterran67794,False,75,https://pbs.twimg.com/profile_images/1906063224761425920/nqtZpPYF_normal.jpg,2024-10-28 20:59:00,Twitter for iPhone,,"@LuisaGonzalezEc, @RC5Oficial",1877158437236228465,1877158437236228352,2025-01-09 01:00:22,1211.6333333333334,68,2,0,122,True,0.0,0.5559701
1881356046108885248,https://x.com/ardededa/status/1881356046108885494,@DanielNoboaOk #NoboaPresidente.  Todo 7!,True,DanielNoboaOk,2025-01-20 15:00:00,315799544,Denise,ardededa,False,85,https://pbs.twimg.com/profile_images/1845256061634097165/Th2w_2t3_normal.jpg,2011-06-12 13:26:00,Twitter for iPhone,NoboaPresidente,@DanielNoboaOk,1881165128185561105,1881165128185560832,2025-01-20 02:21:31,758.4833333333333,4955,1,0,41,True,0.0,0.0466155
1888331962063978752,https://x.com/LMarquinezm/status/1888331962063978998,@slider1908 @LuisaGonzalezEc @DianaAtamaint @cnegobec @FFAAECUADOR Troll de mierda a callarse la boca,True,slider1908,2025-02-08 20:59:00,1551883554,Luis Marquínez,LMarquinezm,False,43,https://pbs.twimg.com/profile_images/1502845324473339912/weJ99x0Z_normal.jpg,2013-06-28 01:23:00,Twitter for iPhone,,"@slider1908, @LuisaGonzalezEc, @DianaAtamaint, @cnegobec, @FFAAECUADOR",1888241152287232352,1888256000085397504,2025-02-08 14:59:07,359.8833333333333,4208,5,0,101,True,0.0,0.8460273
1908658121142153216,https://x.com/feracunatv/status/1908658121142153480,@JaimeEspin13 @Jorge29E @LuisaGonzalezEc @DanielNoboaOk Luisa les envia a los asambleistas de la rc5 con ayuda asi como los envio a esmeralda  a farrear y chupar,True,JaimeEspin13,2025-04-05 23:08:00,2694140700,💀,feracunatv,False,7,https://pbs.twimg.com/profile_images/1366686887365214208/dbwhXLOb_normal.jpg,2014-07-30 23:09:00,Twitter for iPhone,,"@JaimeEspin13, @Jorge29E, @LuisaGonzalezEc, @DanielNoboaOk",1908558451468272036,1908583426371825664,2025-04-05 16:32:48,395.2,3811,4,0,161,True,0.0,
1885094632335212288,https://x.com/carmenguerrero1/status/1885094632335212563,"@DanielNoboaOk La desesperación en la que estás, porque sabes que pierdes, te hace cometer error tras error, ningún show te resulta, ningún montaje te sale bien, ninguna mentira te la creen...",True,DanielNoboaOk,2025-01-30 22:35:00,269865036,Carmen Guerrero,carmenguerrero1,False,792,https://pbs.twimg.com/profile_images/1542602662083977216/X_hj8ZlC_normal.jpg,2011-03-21 15:54:00,Twitter for iPhone,,@DanielNoboaOk,1884979670413672949,1884979670413672704,2025-01-30 14:59:09,455.85,5038,1,0,192,True,0.0,0.20056234
1886910978543247616,https://x.com/Ruthunogu/status/1886910978543247527,@DanielNoboaOk por fin un gobierno que le da valor a los ecuatorianos que estan afuera daniel noboa esta marcando la diferencia para que puedan regresar y rehacer su vida 💜,True,DanielNoboaOk,2025-02-04 22:53:00,2148779837,Ruth Urrutia,Ruthunogu,False,18,https://pbs.twimg.com/profile_images/1841534740051955712/jknAxcfS_normal.jpg,2013-10-22 18:58:00,Twitter for iPhone,,@DanielNoboaOk,1886892240707911834,1886892240707911936,2025-02-04 21:39:01,73.98333333333333,4092,1,0,172,True,0.0,0.022728346
1905690910488494336,https://x.com/galopuentev/status/1905690910488494381,"@LuisaGonzalezEc @RC5Oficial ¿Y por que no hizo nada cuando @soledadpadillam le pidió ayuda para frenar el abuso del compinche mimado del dueño, amo y señor de su partido político?

Basta de mentiras!!🤬

https://t.co/JcwqYWpuwM",True,LuisaGonzalezEc,2025-03-28 18:38:00,963891776078532608,Galo Puente,galopuentev,False,35,https://pbs.twimg.com/profile_images/963893979057016832/XAWwdgRN_normal.jpg,2018-02-14 21:44:00,Twitter for iPhone,,"@LuisaGonzalezEc, @RC5Oficial, @soledadpadillam",1905466984499671385,1905466984499671296,2025-03-28 03:48:25,889.5833333333334,2516,3,0,227,True,0.0,0.3389984
1881192471008514304,https://x.com/rortegabayas/status/1881192471008514238,@LuisaGonzalezEc Te revolcaron Luisa... Vergüenza de candidata... Nunca más estos odiadores..!,True,LuisaGonzalezEc,2025-01-20 04:10:00,370477671,rodrigo ortega,rortegabayas,False,6,https://pbs.twimg.com/profile_images/984605070774947840/5ybp3Qok_normal.jpg,2011-09-09 02:53:00,Twitter for iPhone,,@LuisaGonzalezEc,1881182913590669798,1881182913590669824,2025-01-20 03:32:11,37.81666666666667,4866,1,0,94,True,0.0,0.38601747
